Retail Branding,Marketing Name,Device,Model,Supported ROMs
10.or,G,G,G,"Arrow OS, BananaDroid"
ALBADEEL,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
ANEXA,Smart TV,redwood,ANEXA Android TV,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
ARTEQLED,Smart TV,redwood,ARTEQLED Android TV,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
ASHER,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
Acer,GT-810,rolex,GT-810,"AOSP Extended, Dot OS"
Acer,Iconia Tab A500,picasso,A500,"Cherish OS, CrDroid"
Acer,Iconia Tab A501,picasso,A501,"Cherish OS, CrDroid"
Acer,Liquid S1,a10,S510,"Ancient OS, CrDroid"
Acer,Picasso,picasso,A501,"Cherish OS, CrDroid"
Aiwa,AIWA,lavender,4K SMART TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
Aiwa,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
Asus,,a10,Asus A10,"Ancient OS, CrDroid"
Asus,,a10,Garmin-Asus A10,"Ancient OS, CrDroid"
Asus,Nexus 7 (2012),grouper,Nexus 7,AOSiP
Asus,Nexus 7 (2013),flo,Nexus 7,AOSiP
BEC-KW,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
BPL,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
BRANDO,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
Bauhn,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
BenQ,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
Blackshark,Shark 1S,bullhead,AWM-A0,AOSP Extended
Blaupunkt,Android TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
Blaupunkt,BLAUPUNKT,lavender,4K SMART TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
Blaupunkt,BLAUPUNKT,lavender,BLAUPUNKT 4K TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
Blaupunkt,Blaupunkt,lavender,BLAUPUNKT GOOGLE TV 4K,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
British Telecom,HomeSmartphone d800,d800,BT Home SmartPhone S II,AOSP Extended
CHiQ,H7,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
Challenger,CHALLENGER,lavender,4K SMART TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
Changhong,H7,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
Classpro,G7N,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
Condor,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
Coolpad,Coolpad 3706AS,apollo,CP3706AS,"Arrow OS, Bliss ROMs, Dot OS, DroidX-UI"
Coolpad,Coolpad COR-I0,clover,Coolpad COR-I0,"Carbon ROM, CrDroid"
Cristor,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
DORA,Smart TV,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
Daewoo,4K Smart TV,pioneer,4K SA Smart TV,CrDroid
Daewoo,4K Smart TV,pioneer,DAEWOO 4K SA Smart TV,CrDroid
Daewoo,DAEWOO,lavender,4K SMART TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
EKO,EKO,lavender,EKO 4K Android TV,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
ELSONIC,ESD,redwood,AI PONT,"BaikalOS, BananaDroid, Cherish OS, CrDroid, DroidX-UI"
Emtec,F400,f400,f400,CrDroid
Engel,4K Smart TV,pioneer,4K PA Smart TV,CrDroid
