Rom,Number of devices
Advanced XPerience Os,13
AfterlifeOs,45
AICP,48
AIM ROM,2
AlphaDroid,23
AmyROM,1
Ancient OS,38
AOSiP,5
AOSP Extended,39
Arrow OS,41
Atomic Os,8
BaikalOS,3
BananaDroid,47
BeastROMs,7
Black Iron Project,10
Bliss ROMs,74
Bootleggers ROM,13
CalyxOS,31
Carbon ROM,51
CatalystOS,2
Cesium OS,12
Cherish OS,31
Citrus CAF,3
Colt OS,26
ConquerOS,22
Corvus ROM,2
CrDroid,245
Cygnus ROM,1
Derpfest,57
Dot OS,74
DroidX-UI,34
eFoundation,361
Eternity OS,10
Evervoly,34
Evolution X,33
Floko ROM,8
Fluid OS,17
Freaky OS,18
Fusion OS,1
GenesisOS,16
GrapheneOS,21
Halogen OS,6
Havoc OS,20
iodéOS,47
Komodo OS,35
Krypton OSP,3
Legion OS,25
Lineage OS,510
Liquid Remix,9
LMODroid,245
Magnus OS,8
Mallu OS,14
Miku UI,5
Mokee ROM,15
MSM Xtended,26
Nameless AOSP,16
Nethunter OS,65
Nitrogen OS,31
Nusantara Project,10
Octavi OS,30
Omni Rom,11
OrionOS,18
Paranoid Android,54
PixelBuilds,14
PixelExtended,23
PixelOS,19
PixelPlusUI,104
Pixel Experience,159
Pixel Project,15
Project Awaken,15
Project Elixir,95
ResurrectionRemix,24
