Rom,Number of devices
Advanced XPerience Os,13
AfterlifeOs,45
AICP,48
AIM ROM,2
AlphaDroid,23
AmyROM,21
Ancient OS,38
AOSiP,5
AOSP Extended,39
Arrow OS,41
Atomic Os,8
BaikalOS,3
BananaDroid,47
BeastROMs,7
Black Iron Project,10
Bliss ROMs,74
Bootleggers ROM,13
CalyxOS,31
Carbon ROM,51
CatalystOS,2
Cesium OS,12
Cherish OS,31
CipherOS,1
Citrus CAF,3
Colt OS,26
ConquerOS,22
Corvus ROM,2
CrDroid,242
Cygnus ROM,10
Derpfest,57
DivestOS,1
Dot OS,74
DroidX-UI,34
eFoundation,361
ElytraOS,1
Eternity OS,10
Evervoly,34
Evolution X,29
Floko ROM,8
Fluid OS,17
Freaky OS,18
Fusion OS,1
GenesisOS,16
GrapheneOS,21
Halcyon Project,1
Halogen OS,6
Havoc OS,20
iodéOS,47
Kang OS,1
Komodo OS,35
Krypton OSP,3
Lineage OS,508
Paranoid Android,54
Project Elixir,84
ResurrectionRemix,24
utils,1
